day_of_year,hour,consumption
33,0,0.185547415
33,1,0.179834456
33,2,0.176214874
33,3,0.177256406
33,4,0.181556593
33,5,0.190177592
33,6,0.217247117
33,7,0.234045691
33,8,0.244450701
33,9,0.248957132
33,10,0.248874635
33,11,0.253040764
33,12,0.253185134
33,13,0.25564975
33,14,0.249256186
33,15,0.244543511
33,16,0.246306897
33,17,0.252164227
33,18,0.24903963
33,19,0.248266215
33,20,0.242058271
33,21,0.228260547
33,22,0.213679096
33,23,0.200469168
34,0,0.188826694
34,1,0.182907491
34,2,0.180154134
34,3,0.181525657
34,4,0.184774
34,5,0.194168414
34,6,0.220206719
34,7,0.237984952
34,8,0.247389678
34,9,0.252205475
34,10,0.253473876
34,11,0.256660346
34,12,0.257320327
34,13,0.25902184
34,14,0.255092891
34,15,0.251339251
34,16,0.250658645
34,17,0.25504133
34,18,0.250668958
34,19,0.246750322
34,20,0.239325538
34,21,0.225166887
34,22,0.211472285
34,23,0.199283265
35,0,0.187630479
35,1,0.180865676
35,2,0.176936728
35,3,0.176348932
35,4,0.178648553
35,5,0.179329158
35,6,0.187104557
35,7,0.194529341
35,8,0.209956392
35,9,0.220701704
35,10,0.223104447
35,11,0.225569063
35,12,0.224960643
35,13,0.224630653
35,14,0.22068108
35,15,0.216587137
35,16,0.219237372
35,17,0.226940585
35,18,0.224909082
35,19,0.221887607
35,20,0.215267175
35,21,0.203738135
35,22,0.194075604
35,23,0.181453471
36,0,0.171852813
36,1,0.166841084
36,2,0.163551492
36,3,0.162819326
36,4,0.163840234
36,5,0.165923298
36,6,0.168243543
36,7,0.172935594
36,8,0.184753375
36,9,0.194941829
36,10,0.200912593
36,11,0.204862165
36,12,0.20694523
36,13,0.206646176
36,14,0.202191305
36,15,0.199489509
36,16,0.20221193
36,17,0.212627252
36,18,0.215978717
36,19,0.215937468
36,20,0.212235388
36,21,0.203428769
36,22,0.196725839
36,23,0.186537386
37,0,0.17849387
37,1,0.175358961
37,2,0.17343058
37,3,0.173523389
37,4,0.17788545
37,5,0.190064158
37,6,0.222939452
37,7,0.24533755
37,8,0.257856561
37,9,0.263012661
37,10,0.262125812
37,11,0.258186551
37,12,0.256567536
37,13,0.255917867
37,14,0.251462997
37,15,0.250297718
37,16,0.2534945
37,17,0.26460074
37,18,0.262589861
37,19,0.26150708
37,20,0.256278794
37,21,0.23985146
37,22,0.224341911
37,23,0.209770772
38,0,0.20005668
38,1,0.194302472
38,2,0.191280998
38,3,0.191270686
38,4,0.194230287
38,5,0.20408875
38,6,0.230549855
38,7,0.250442089
38,8,0.262393929
38,9,0.265889765
38,10,0.26544634
38,11,0.266529121
38,12,0.266590994
38,13,0.266972546
38,14,0.259176523
38,15,0.257010961
38,16,0.256845965
38,17,0.265580399
38,18,0.263115783
38,19,0.262527988
38,20,0.255433194
38,21,0.240325821
38,22,0.223702555
38,23,0.208698304
39,0,0.196901147
39,1,0.191435681
39,2,0.18758923
39,3,0.188218274
39,4,0.19213691
39,5,0.201304456
39,6,0.228590537
39,7,0.247781542
39,8,0.259269332
39,9,0.26099147
39,10,0.256598473
39,11,0.256020989
39,12,0.254443223
39,13,0.254742277
39,14,0.250204909
39,15,0.248307464
39,16,0.252504529
39,17,0.261290524
39,18,0.261723636
39,19,0.260352113
39,20,0.253030451
39,21,0.238345879
39,22,0.221671051
39,23,0.208296128
40,0,0.19911827
40,1,0.193003135
40,2,0.189754792
40,3,0.190951007
40,4,0.194591214
40,5,0.203439082
40,6,0.230931407
40,7,0.247688732
40,8,0.257165644
40,9,0.257877185
40,10,0.249802733
40,11,0.247224683
40,12,0.244894126
40,13,0.246214087
40,14,0.242470759
40,15,0.242408885
40,16,0.24655439
40,17,0.257516258
40,18,0.256794404
40,19,0.255505379
40,20,0.248090908
40,21,0.231849193
40,22,0.217247117
40,23,0.204099062
41,0,0.193230004
41,1,0.188434831
41,2,0.186114586
41,3,0.186197083
41,4,0.190631329
41,5,0.201665383
41,6,0.224754399
41,7,0.241264231
41,8,0.248348713
41,9,0.250524587
41,10,0.249338684
41,11,0.252401407
41,12,0.252566402
41,13,0.253948237
41,14,0.248647766
41,15,0.248647766
41,16,0.24870964
41,17,0.256330355
41,18,0.252153914
41,19,0.25007085
41,20,0.242728564
41,21,0.227311825
41,22,0.21243132
41,23,0.199314202
42,0,0.189156685
42,1,0.182732184
42,2,0.179226036
42,3,0.179164163
42,4,0.177637957
42,5,0.178638241
42,6,0.186970498
42,7,0.19429216
42,8,0.207512401
42,9,0.217154308
42,10,0.221681363
42,11,0.223733491
42,12,0.225476253
42,13,0.226703405
42,14,0.222155725
42,15,0.217649293
42,16,0.216349956
42,17,0.222908515
42,18,0.221588554
42,19,0.217236805
42,20,0.209822333
42,21,0.198272669
42,22,0.188919504
42,23,0.177307967
43,0,0.169089143
43,1,0.163097755
43,2,0.160478456
43,3,0.157972592
43,4,0.159282241
43,5,0.160488769
43,6,0.164139287
43,7,0.16982131
43,8,0.179751958
43,9,0.18758923
43,10,0.188568889
43,11,0.188548265
43,12,0.189641358
43,13,0.189899163
43,14,0.1864652
43,15,0.185650537
43,16,0.189868226
43,17,0.202428486
43,18,0.206274937
43,19,0.207120537
43,20,0.202510984
43,21,0.192920638
43,22,0.184382136
43,23,0.173709009
44,0,0.166253288
44,1,0.162736828
44,2,0.159973159
44,3,0.159179119
44,4,0.165366439
44,5,0.176977976
44,6,0.20727522
44,7,0.22841523
44,8,0.240563002
44,9,0.244832252
44,10,0.24500756
44,11,0.250658645
44,12,0.249318059
44,13,0.250297718
44,14,0.24369791
44,15,0.241831402
44,16,0.240047392
44,17,0.247317493
44,18,0.245646916
44,19,0.245059121
44,20,0.239408035
44,21,0.223877862
44,22,0.207058664
44,23,0.193106257
45,0,0.182144389
45,1,0.176390181
45,2,0.173069653
45,3,0.173533702
45,4,0.17727703
45,5,0.188476079
45,6,0.214555633
45,7,0.234520052
45,8,0.24543036
45,9,0.24870964
45,10,0.247018439
45,11,0.248348713
45,12,0.249534616
45,13,0.248998381
45,14,0.243491666
45,15,0.240717685
45,16,0.240243323
45,17,0.248317776
45,18,0.248792137
45,19,0.247812478
45,20,0.240614563
45,21,0.225878429
45,22,0.210946363
45,23,0.197674562
46,0,0.187991406
46,1,0.182000018
46,2,0.179122914
46,3,0.179886017
46,4,0.182577501
46,5,0.192704081
46,6,0.218020532
46,7,0.236747488
46,8,0.2466472
46,9,0.248513708
46,10,0.243429793
46,11,0.241078612
46,12,0.239603967
46,13,0.237159976
46,14,0.234293184
46,15,0.235489399
46,16,0.239542094
46,17,0.249122128
46,18,0.25016366
46,19,0.248544644
46,20,0.241779841
46,21,0.22719839
46,22,0.211668217
46,23,0.197396132
47,0,0.188238899
47,1,0.181948457
47,2,0.180381002
47,3,0.179514778
47,4,0.18294874
47,5,0.191930666
47,6,0.218608328
47,7,0.234045691
47,8,0.241748905
47,9,0.240645499
47,10,0.235004726
47,11,0.234922228
47,12,0.233860072
47,13,0.234128189
47,14,0.233323837
47,15,0.232756666
47,16,0.234530365
47,17,0.243254486
47,18,0.243966028
47,19,0.242254202
47,20,0.235293467
47,21,0.21997985
47,22,0.203800009
47,23,0.191930666
48,0,0.182763121
48,1,0.177483274
48,2,0.174451487
48,3,0.175297088
48,4,0.178710426
48,5,0.18862045
48,6,0.212070393
48,7,0.228889591
48,8,0.23891305
48,9,0.242883247
48,10,0.241243607
48,11,0.246935941
48,12,0.247936225
48,13,0.247853727
48,14,0.244533199
48,15,0.239191479
48,16,0.239201791
48,17,0.244316642
48,18,0.241460163
48,19,0.237840581
48,20,0.230415797
48,21,0.213452228
48,22,0.198035489
48,23,0.184969931
49,0,0.174399926
49,1,0.166913269
49,2,0.16293276
49,3,0.162767765
49,4,0.164510527
49,5,0.166851396
49,6,0.172244677
49,7,0.181154417
49,8,0.19353937
49,9,0.205016848
49,10,0.207264908
49,11,0.209069543
49,12,0.210059514
49,13,0.210523563
49,14,0.206079005
49,15,0.206202751
49,16,0.207780518
49,17,0.21510218
49,18,0.214700004
49,19,0.211441349
49,20,0.204614672
49,21,0.191250061
49,22,0.181226603
49,23,0.169934744
50,0,0.160622827
50,1,0.154683
50,2,0.150754052
50,3,0.148454431
50,4,0.150424061
50,5,0.151950267
